Description,Food,Service,Atmosphere,Price,labe
Food and service was great. Sangria red was amazingly delicious.,1,1,0,0,1
Food and service was excellent.,1,1,0,0,1
"The food and service excellent.  We ordered beef, chicken and Mac /cheese empanadas. Had paella for 2 with the beef short rib, chicken, chorizo.  All was very tasty!

Easy street parking.",1,1,0,0,1
Great food and service!,1,1,0,0,1
nice atmosphere . good food,1,0,1,0,1
The food was amazing and the service is outstanding. Try the sangria!!,1,1,0,0,1
Amazing experience and definitely will add to our date night roster.  Best empanadas in Nassau County and delicious sangria to boot!,1,0,0,0,1
Excellent food and services,1,1,0,0,1
"Ambience was warm, food and drinks were fresh and amazing, and service was great. Go and experience it for yourself. And try their empanadas and sangria as appetizers; it's a ""must-have"" on the menu!!!",1,1,0,0,1
"This was a birthday celebration.  The staff made us feel special as soon as we walked in. They explained how the tapas would be shared plates brought out one after another. 
The food was excellent.
They provided a festive dessert and sang happy birthday--gratis!
We will definitely be back",1,1,1,0,1
very delicious FRESH food.,1,0,0,0,1
Great food,1,0,0,0,1
Delicious food and amazing service!!,1,1,0,0,1
"Food was good, definitely have to try the pecan empanada a la mode...WOW!!!",1,0,0,0,1
The food was excellent,1,0,0,0,1
Food was exceptional. Hugo our waiter was on point.,1,1,0,0,1
The food and the service were excellent!,1,1,0,0,1
"Delicious food, warm atmosphere, friendly staff",1,1,1,0,1
"I love this place- small , quaint and the nicest staff ever!",0,1,1,0,1
I love this place.  Friendly staff & very informative.  Small dishes (tapas) so you can try a little bit of everything.,1,1,0,0,1
Great food friendly service,1,1,0,0,1
"Repeat customers, we love the sangria, the food and service!",1,1,0,0,1
My husband and I have been eating here for years. Amazing empanadas! The menu is unique and a refreshing change from the usual restaurant fare.,1,0,0,0,1
Food and service were great. Would definitely return.,1,1,0,0,1
The food is amaing!!! My husband and I had the shrimp quesadilla as well as the seafood paella. The atmosphere is relaxed and welcoming.,1,0,1,0,1
Everything was amazing!!!!,0,0,0,0,1
Food was very good . Sangria was also.,1,0,0,0,1
Delicious meal!! Amazing sangria,1,0,0,0,1
Never disappointed! The staff is so friendly and the food is out of this world!,1,1,0,0,1
"Amazing service, delicious food, highly recommend!!",1,1,0,0,1
Delicious food,1,0,0,0,1
They were nice but I didn’t like the food they had too much sauce on the food,1,0,0,0,1
Never disappoints!!! The nicest waiter! Creative menu! And most of all delicious!!!!,1,1,0,0,1
The seafood paella did not seem to have saffron in it. Although the truffle mushroom Mac and cheese was very good. The empanada looks good and a good portion size.,1,0,0,0,1
Woa delicioso ceviche toda la comida exelente servicio y sangria woaaaa,1,1,0,0,1
